nom
UGC Ciné Cité les Halles
Forum des images
Auditorium du Louvre
Gaumont Opéra côté Premier
Le Grand Rex
MK2 Beaubourg
Musée d'art et d'histoire du Judaïsme
Théatre de la Gaité-Lyrique
Thréatre du Marais
Luminor Hotel de ville
Centre Georges Pompidou
Centre Wallonie-Bruxelles
Maison européenne de la photographie
Champo
Cinéma du Panthéon
La clef
Ecoles Cinéma Club
Epée de bois
Espace Saint-Michel
Filmothéque du Quartier Latin
Grand Action
Reflet Médicis
Sudio Galande
Sudio des Ursulines
Centre Culturel Irlandais
Institut du monde arabe
Institut Finlandais
Institut Océanographique
Les 3 Luxembourg
L'Arlequin
Christine Cinéma Club
Etoile Saint-Germain-des-Prés
Lucernaire
MK2 Odéon côté Saint-Germain
MK2 Odéon côté Saint-Michel
MK2 Parnasse
Nouvel Odéon
Sain André des arts I et II
UGC Danton
UGC Montparnasse
UGC Odéon
UGC Rotonde
Bretagne
Musée d'Orsay
Balzac
Elysées Lincoln
Gaumont Champs-Elysées Marignan
MK2 Grand Palais
Publicis Cinémas
UGC Normandie
Cinéma Paradiso Grand Palais
Galerie National du Jeu de Paume
Club de l'Etoile
Ciq Caumartin
Gaumont Opéra côté Capucines
Gaumont Opéra côté Français
Max LInder Panorama
UGC Opéra
L'Archipel
Brady
Le Louxor
Majestic bastille
MK2 Bastille côté Beaumarchais
MK2 Bastille côté Faubourg Saint-Antoine
Cinémathèque francaise
MK2 Nation
UGC Ciné Cité Bercy
UGC Lyon Bastille
Musée de l'histoire de l'immigration
Escurial
Les Fauvettes
MK2 Bibliothèque
UGC Gobelins
7 Parnassiens
Champin Denfert
Entrepôt
Gaumont Alésia
Gaumont Parnasse
Gaumont Parnasse côté Montparnos
Chaplin Saint Lambert
Gaumont Aquaboulevard 
Gaumont Convention
Pathé Beaugrenelle
Maison de la culture du Japon à Paris
Majestic Passy
Cité de l'architecture et du patrimoine
Théatre du Ranelagh
Palais de Tokyo
Cinéma des cinéastes
Mac Mahon
UGC Maillot
Pathé Wepler
Sutdio 28
MK2 Quai de Seine
MK2 Quai de Loire
Pathé la villette
UFC CIné Cité Paris 19
Géode
Parc de la Villette (plein air)
Philarmonie de Paris
Cité des sciences
CGR Paris-Lilas
MK2 Gambetta
